0,13,0.0,13,64802,68828,721897,false
1,165,21.0,165,2247,137123,57576,false
2,81,5.0,81,788,148242,159927,true
3,295,57.0,295,51139,127781,859565,false
4,252,39.0,252,8968,199382,93117,false
5,54,8.0,54,33220,110420,439111,false
6,298,15.0,298,129157,25403,895027,false
7,237,25.0,237,55204,61486,49457,false
8,305,33.0,305,170678,4362,888427,false
9,123,18.0,123,81465,26685,1039388,false
10,76,2.0,76,12963,154547,422981,false
11,17,1.0,17,44309,81601,950452,false
12,132,1.0,132,150212,38338,333305,false
13,304,11.0,304,131645,14245,489320,false
14,12,0.0,12,89188,40142,235598,false
15,234,44.0,234,72042,48678,499855,false
16,165,4.0,165,45973,134187,1026838,false
17,42,2.0,42,111986,71214,750438,false
18,130,18.0,130,82276,49044,798091,false
19,167,21.0,167,60405,70845,850967,false
