0,76,5.0,76,27120,164760,767199,false
1,179,21.0,179,206602,16508,834355,false
2,66,0.0,66,51580,128740,812063,false
3,284,46.0,284,76098,67452,1031847,false
4,123,10.0,123,166115,6235,771362,false
5,174,15.0,174,178992,5598,247612,false
6,233,0.0,233,93467,15813,8886,false
7,123,12.0,123,32046,177474,621550,false
8,271,5.0,271,120599,4501,611207,false
9,305,27.0,305,62589,61941,987217,false
10,69,3.0,69,11290,145310,889553,true
11,81,7.0,81,30589,110891,894581,false
12,247,18.0,247,51877,116123,884593,false
13,51,3.0,51,116398,41282,836810,false
14,119,18.0,119,48708,119782,839738,false
15,190,11.0,190,65812,77918,378251,false
16,159,23.0,159,28645,102755,258813,false
17,164,30.0,164,62108,107092,571125,false
18,62,3.0,62,37802,86518,404886,false
19,135,12.0,135,171950,10840,754624,true
20,224,0.0,224,161559,6291,1036308,false
21,170,5.0,170,68331,48869,496467,false
22,105,7.0,105,86891,98629,778422,false
23,285,27.0,285,91885,51935,404966,false
24,240,2.0,240,78479,31211,415124,false
25,274,36.0,274,169635,45915,82294,false
26,187,12.0,187,90143,91367,902130,false
27,307,19.0,307,144156,2404,644265,true
28,155,26.0,155,114475,73265,851487,false
29,167,28.0,167,69433,90377,152868,false
30,15,1.0,15,30960,167440,78226,false
31,291,42.0,291,10538,166822,77855,false
32,309,49.0,309,118235,82015,998121,false
33,246,36.0,246,104246,19114,637859,false
34,180,15.0,180,100446,83874,466097,false
35,299,15.0,299,51130,70790,726305,false
36,44,2.0,44,118359,43901,61962,false
37,110,10.0,110,39569,126661,533112,false
38,20,1.0,20,86664,71826,1041756,false
39,140,22.0,140,43461,79459,388001,false
