0,256,42.0,256,106505,50055,43668,true
1,87,13.0,87,170866,52964,702488,false
2,194,13.0,194,4654,144236,480514,false
3,11,0.0,11,9789,153201,734691,false
4,114,2.0,114,97044,63996,133383,true
5,34,0.0,34,30803,80217,761787,false
6,69,5.0,69,65301,56849,740444,false
7,178,15.0,178,96217,28433,814595,false
8,256,31.0,256,41864,77836,337669,false
9,105,13.0,105,150401,72619,186373,false
10,111,14.0,111,17389,142491,741497,false
11,251,29.0,251,52080,110560,597538,false
12,93,10.0,93,36936,110124,527801,false
13,143,7.0,143,226591,10019,256935,false
14,237,34.0,237,152039,39481,502906,false
15,103,15.0,103,12705,142345,661368,false
16,142,13.0,142,7589,167191,1045348,false
17,152,18.0,152,57990,175650,54693,false
18,121,3.0,121,28925,87955,677263,false
19,54,0.0,54,97435,68795,507634,false
20,222,23.0,222,34977,124383,10361,false
21,268,33.0,268,120524,77386,927364,false
22,269,7.0,269,133171,6129,852571,false
23,246,41.0,246,2997,115483,322235,true
24,60,0.0,60,75650,115510,53862,false
25,244,34.0,244,78251,28569,88531,false
26,169,18.0,169,60999,60761,1016872,false
27,23,2.0,23,115143,47017,308693,false
28,45,6.0,45,96490,29930,44076,false
29,135,8.0,135,35374,130946,267940,false
