808,1084,804,732,1714,1957,2455,909,2027,778,708,1636,1320,2161,1295,1207,1054,684,1644,1624,1183,2257,2287,637,1169,1858,1804,2472,614,1253,1255,1103,1236,845,1444,1381,2349,1853,2023,1181
1084,857,1199,939,1071,1829,1699,2330,961,1950,861,2118,555,2087,1152,2421,1265,837,1489,1003,1701,763,2435,2219,1709,782,522,1577,541,1777,1979,586,1832,952,2169,1233,1778,1544,1848,738
804,1199,2115,855,1518,2036,983,535,1239,1914,1928,2121,1174,1965,2443,769,769,1888,1331,1956,1323,615,1460,516,825,534,1939,1447,750,738,595,1233,1966,526,2344,804,2141,1934,1863,918
732,939,855,1772,1475,984,1698,1157,2236,1244,1079,2134,2222,988,856,2453,686,1930,776,2195,2016,1914,812,567,1207,1586,2248,611,1784,1204,2127,2044,1062,948,1126,1558,1735,792,561,1348
1714,1071,1518,1475,699,2129,2219,2490,960,1682,1192,1977,2161,1757,1579,796,1507,548,2344,742,1449,590,1476,1419,647,2381,930,1249,2051,1477,2071,1561,1694,987,2391,890,2143,1987,1317,1269
1957,1829,2036,984,2129,2145,1316,599,1978,1515,2129,2092,678,868,2053,642,2108,1168,934,1965,992,2019,2294,2416,1813,1713,2330,1985,1249,2046,1942,1331,1382,1021,702,2313,1530,916,1174,2345
2455,1699,983,1698,2219,1316,2241,2374,656,601,1228,2054,1191,1088,2388,617,550,2404,1550,1907,1280,1304,1870,1015,634,1873,2168,2106,1192,2499,2063,1840,718,1378,1016,1869,1792,1522,1815,2004
909,2330,535,1157,2490,599,2374,2310,1297,1661,2188,1256,2166,2006,2096,1209,1787,1280,2328,1357,1717,2495,1349,840,1799,1096,1436,2255,2021,1629,962,1188,1763,1140,633,1517,597,1824,2087,749
2027,961,1239,2236,960,1978,656,1297,635,1529,836,1504,742,2416,1545,863,642,1252,1017,1398,2323,1435,1720,1385,654,1063,1562,908,1941,1822,1444,2083,701,2179,1464,1794,1754,937,763,1822
778,1950,1914,1244,1682,1515,601,1661,1529,2117,1666,501,1027,2280,636,1552,1585,1748,1976,1095,1796,1565,1322,1196,2319,2456,2359,2150,1143,2185,1187,2038,1711,1843,849,1330,1660,1738,2197,2094
708,861,1928,1079,1192,2129,1228,2188,836,1666,860,608,1145,2205,820,1914,1178,1138,1363,2416,1179,2093,716,1988,2161,1425,2020,780,1199,2338,877,588,1305,1700,957,2150,1684,1452,1592,784
1636,2118,2121,2134,1977,2092,2054,1256,1504,501,608,746,1549,807,1186,1331,2167,2310,1443,1161,655,2212,1860,2225,618,2119,969,2254,1131,2080,856,1541,2167,662,1891,986,2098,1947,2350,1296
1320,555,1174,2222,2161,678,1191,2166,742,1027,1145,1549,587,1159,1592,600,1429,1774,578,934,813,543,2484,1143,1014,718,1057,2114,1748,976,1294,1993,1117,1833,558,1952,1826,1916,838,2492
2161,2087,1965,988,1757,868,1088,2006,2416,2280,2205,807,1159,1310,1832,2390,622,1021,605,1311,833,1577,887,1462,1979,852,1466,2447,1200,1683,1274,1710,1796,1498,1594,1814,2410,1646,736,573
1295,1152,2443,856,1579,2053,2388,2096,1545,636,820,1186,1592,1832,1616,2067,1584,1176,755,1286,2044,735,557,565,2233,796,2482,1732,2283,1954,1190,1031,1558,2406,2445,2353,989,716,2218,1287
1207,2421,769,2453,796,642,617,1209,863,1552,1914,1331,600,2390,2067,1654,1636,1770,2219,515,810,785,1347,1509,2342,2015,1555,2303,970,1190,2269,1077,1996,796,1751,1931,1375,2004,964,1509
1054,1265,769,686,1507,2108,550,1787,642,1585,1178,2167,1429,622,1584,1636,1184,2322,2346,1144,830,2400,2323,671,1390,797,839,1935,1253,892,1868,1724,1013,2307,853,1306,1427,981,2326,988
684,837,1888,1930,548,1168,2404,1280,1252,1748,1138,2310,1774,1021,1176,1770,2322,715,1088,933,2162,1460,1175,2141,532,1172,670,2430,569,2350,1048,1371,1378,519,714,1768,1669,2082,631,537
1644,1489,1331,776,2344,934,1550,2328,1017,1976,1363,1443,578,605,755,2219,2346,1088,1526,543,626,1342,854,799,991,2190,1654,2276,901,1276,2328,1408,969,1644,1170,2473,2494,947,1992,2002
1624,1003,1956,2195,742,1965,1907,1357,1398,1095,2416,1161,934,1311,1286,515,1144,933,543,1456,531,1791,771,627,2079,2322,2496,2455,1951,1866,1140,1251,711,875,1089,1257,2059,872,1676,766
1183,1701,1323,2016,1449,992,1280,1717,2323,1796,1179,655,813,833,2044,810,830,2162,626,531,621,1253,1541,610,1538,2079,1970,1194,1077,1476,2056,2121,955,1896,1707,1040,823,816,1470,1061
