893,2260,1507,1621,1313,1205,2412,669,881,704,2056,2075,1364,518,848,1056,1315,1671,2205,877
2260,1221,929,1892,1523,1767,767,1000,596,550,1358,1920,528,937,2043,1348,1526,1047,966,1993
1507,929,768,1361,1631,1888,1873,790,1995,1927,1197,974,2173,1504,703,1612,1088,750,1605,1015
1621,1892,1361,893,1030,1896,1629,546,1887,2469,897,2398,1304,2155,746,2284,1170,2084,2090,2422
1313,1523,1631,1030,672,1996,724,1838,1917,2027,1956,945,2158,2344,1670,1906,1475,2171,1416,761
1205,1767,1888,1896,1996,1674,2016,1290,1676,2128,2268,1051,589,1417,2383,2234,1987,1554,735,838
2412,767,1873,1629,724,2016,2490,2479,1181,546,2147,527,1166,1237,777,925,1658,2378,1552,2263
669,1000,790,546,1838,1290,2479,1896,1908,518,2180,2112,725,2330,852,1338,2112,917,2313,2039
881,596,1995,1887,1917,1676,1181,1908,1133,2348,727,1922,987,2349,1510,769,1712,2442,1004,1791
704,550,1927,2469,2027,2128,546,518,2348,1941,1284,991,825,1169,2206,761,1795,1718,744,1579
2056,1358,1197,897,1956,2268,2147,2180,727,1284,2021,993,1931,2379,1759,787,671,1655,1442,2394
2075,1920,974,2398,945,1051,527,2112,1922,991,993,915,1899,540,1809,1423,1992,1705,1332,2360
1364,528,2173,1304,2158,589,1166,725,987,825,1931,1899,2093,2443,709,2362,1640,2062,1866,1007
518,937,1504,2155,2344,1417,1237,2330,2349,1169,2379,540,2443,865,1198,696,2327,1596,2394,796
848,2043,703,746,1670,2383,777,852,1510,2206,1759,1809,709,1198,716,1965,1773,2348,2311,2297
1056,1348,1612,2284,1906,2234,925,1338,769,761,787,1423,2362,696,1965,1308,586,866,1107,2185
1315,1526,1088,1170,1475,1987,1658,2112,1712,1795,671,1992,1640,2327,1773,586,1211,1621,520,1156
1671,1047,750,2084,2171,1554,2378,917,2442,1718,1655,1705,2062,1596,2348,866,1621,1675,958,1070
2205,966,1605,2090,1416,735,1552,2313,1004,744,1442,1332,1866,2394,2311,1107,520,958,2456,1802
877,1993,1015,2422,761,838,2263,2039,1791,1579,2394,2360,1007,796,2297,2185,1156,1070,1802,702
