696,523,1104,1989,1360,684,1756,1212,1046,977,1492,504,2093,1683,2010,2388,1318,2111,2256,2042
523,644,1494,1281,2369,2360,564,766,1418,1406,1523,787,815,782,1331,827,593,1680,1060,2269
1104,1494,1964,1692,1118,2410,512,2165,843,748,2479,1116,2379,855,1969,1231,1109,890,539,1454
1989,1281,1692,1811,646,970,1572,993,529,1662,2365,1071,996,861,940,1210,2260,1587,1350,1742
1360,2369,1118,646,2182,1513,1444,2153,2106,1445,2016,735,1939,638,1986,1160,572,1895,1749,1862
684,2360,2410,970,1513,836,1195,1982,1186,1542,1654,1623,1796,1059,868,1000,1673,1883,2494,1279
1756,564,512,1572,1444,1195,942,841,2133,2368,2327,1558,1616,617,2112,2265,2343,1286,2215,1942
1212,766,2165,993,2153,1982,841,1236,1118,2115,2433,1355,2381,2221,1951,2356,672,2231,1715,2485
1046,1418,843,529,2106,1186,2133,1118,1018,1159,1774,1469,2046,2301,2268,1683,1936,637,1199,1787
977,1406,748,1662,1445,1542,2368,2115,1159,1132,1444,1751,854,557,1719,668,697,1116,2170,2095
1492,1523,2479,2365,2016,1654,2327,2433,1774,1444,2220,1076,1821,1312,1282,1216,1224,1523,1311,2217
504,787,1116,1071,735,1623,1558,1355,1469,1751,1076,2454,1497,810,1216,1416,2412,2287,1784,1913
2093,815,2379,996,1939,1796,1616,2381,2046,854,1821,1497,2139,1519,823,950,1509,2445,1906,730
1683,782,855,861,638,1059,617,2221,2301,557,1312,810,1519,2484,1416,2131,1397,1496,1081,2244
2010,1331,1969,940,1986,868,2112,1951,2268,1719,1282,1216,823,1416,806,616,1136,1007,699,2124
2388,827,1231,1210,1160,1000,2265,2356,1683,668,1216,1416,950,2131,616,757,556,575,800,2329
1318,593,1109,2260,572,1673,2343,672,1936,697,1224,2412,1509,1397,1136,556,1436,2023,2159,1815
2111,1680,890,1587,1895,1883,1286,2231,637,1116,1523,2287,2445,1496,1007,575,2023,724,670,1131
2256,1060,539,1350,1749,2494,2215,1715,1199,2170,1311,1784,1906,1081,699,800,2159,670,2256,1112
2042,2269,1454,1742,1862,1279,1942,2485,1787,2095,2217,1913,730,2244,2124,2329,1815,1131,1112,2454
