1438,817,1687,1742,1320,2449,797,1226,1337,1504,653,696,750,2343,2105,2398,1181,2153,2253,1500,1608,2147,670,2060,521,1324,1997,771,660,1541
817,579,712,595,1688,1820,1288,1967,2210,2289,1098,1860,1362,1084,1397,2069,739,1128,2067,2149,1742,2355,1264,540,1281,1965,2026,2098,587,534
1687,712,1769,1993,2254,1849,895,2258,1886,595,2375,903,2479,2478,1777,770,2399,714,1946,1461,1399,2142,1350,2463,2376,621,2436,968,1791,1044
1742,595,1993,2157,2251,2380,999,541,1086,1594,1162,662,647,2419,2014,1161,2339,1177,2069,2295,940,653,1109,1300,738,694,1990,583,1029,1433
1320,1688,2254,2251,726,2050,1791,2446,862,2345,830,2337,1956,2464,651,1202,2055,1885,2477,1701,2469,753,1397,598,899,1126,2190,1325,720,1856
2449,1820,1849,2380,2050,1075,2173,960,867,690,718,1417,1187,1863,2479,1804,636,1748,2313,2389,521,1821,949,817,646,1929,1314,1664,1568,2145
797,1288,895,999,1791,2173,2110,2495,2466,758,734,1661,2099,1414,910,1942,638,2414,1916,922,782,2145,1215,2306,1351,2382,2363,671,681,1835
1226,1967,2258,541,2446,960,2495,2223,1564,2205,592,1891,2241,1843,1079,2123,874,1874,1533,1559,2092,2205,1549,1147,619,2392,534,779,2351,1497
1337,2210,1886,1086,862,867,2466,1564,2460,847,732,1826,1508,1986,530,1326,565,1881,697,831,1766,1017,2381,2261,2248,1357,819,2315,2324,1726
1504,2289,595,1594,2345,690,758,2205,847,1693,689,2219,2444,1077,1338,764,713,1868,1487,2417,1336,2174,615,1343,1714,1223,847,1372,773,1752
653,1098,2375,1162,830,718,734,592,732,689,2329,741,1960,664,1728,1996,1412,988,1000,2125,971,2149,1722,1389,1447,555,1309,1144,2345,1810
696,1860,903,662,2337,1417,1661,1891,1826,2219,741,2033,1176,1373,859,2222,1113,1775,2406,1782,1445,1534,2223,954,1672,1998,1481,2463,2352,530
750,1362,2479,647,1956,1187,2099,2241,1508,2444,1960,1176,789,870,956,2403,696,2323,1854,1693,1471,1844,1770,1830,1973,536,896,1690,1247,634
2343,1084,2478,2419,2464,1863,1414,1843,1986,1077,664,1373,870,2042,2491,1510,1201,627,1440,685,1644,2268,2288,1395,907,1387,1427,2165,1131,629
2105,1397,1777,2014,651,2479,910,1079,530,1338,1728,859,956,2491,1053,1717,1982,650,1856,799,2286,2081,1469,1177,2255,1912,765,587,920,1438
2398,2069,770,1161,1202,1804,1942,2123,1326,764,1996,2222,2403,1510,1717,1337,2154,1321,1997,1537,531,981,715,2399,702,1982,797,2086,671,2009
1181,739,2399,2339,2055,636,638,874,565,713,1412,1113,696,1201,1982,2154,694,1493,2085,1950,948,1454,2120,1819,566,2203,2268,569,1486,635
2153,1128,714,1177,1885,1748,2414,1874,1881,1868,988,1775,2323,627,650,1321,1493,666,1560,1500,2213,1069,917,1333,1969,2436,2103,2145,1562,571
2253,2067,1946,2069,2477,2313,1916,1533,697,1487,1000,2406,1854,1440,1856,1997,2085,1560,2333,1999,1059,1712,2417,2183,2433,2086,1101,2259,1026,1119
1500,2149,1461,2295,1701,2389,922,1559,831,2417,2125,1782,1693,685,799,1537,1950,1500,1999,882,1587,1440,912,2495,1455,2217,2089,1242,2156,2115
1608,1742,1399,940,2469,521,782,2092,1766,1336,971,1445,1471,1644,2286,531,948,2213,1059,1587,2138,1425,567,1867,596,837,2173,1081,2306,1881
2147,2355,2142,653,753,1821,2145,2205,1017,2174,2149,1534,1844,2268,2081,981,1454,1069,1712,1440,1425,743,1702,1886,2297,1533,2075,2225,1930,801
670,1264,1350,1109,1397,949,1215,1549,2381,615,1722,2223,1770,2288,1469,715,2120,917,2417,912,567,1702,508,1598,1120,1378,1833,2462,2260,1758
2060,540,2463,1300,598,817,2306,1147,2261,1343,1389,954,1830,1395,1177,2399,1819,1333,2183,2495,1867,1886,1598,732,2236,2101,1106,1276,1440,2476
521,1281,2376,738,899,646,1351,619,2248,1714,1447,1672,1973,907,2255,702,566,1969,2433,1455,596,2297,1120,2236,2201,1301,949,1137,1549,560
1324,1965,621,694,1126,1929,2382,2392,1357,1223,555,1998,536,1387,1912,1982,2203,2436,2086,2217,837,1533,1378,2101,1301,543,2408,1282,1983,922
1997,2026,2436,1990,2190,1314,2363,534,819,847,1309,1481,896,1427,765,797,2268,2103,1101,2089,2173,2075,1833,1106,949,2408,2397,1040,1298,974
771,2098,968,583,1325,1664,671,779,2315,1372,1144,2463,1690,2165,587,2086,569,2145,2259,1242,1081,2225,2462,1276,1137,1282,1040,2229,1202,1496
660,587,1791,1029,720,1568,681,2351,2324,773,2345,2352,1247,1131,920,671,1486,1562,1026,2156,2306,1930,2260,1440,1549,1983,1298,1202,2457,1952
1541,534,1044,1433,1856,2145,1835,1497,1726,1752,1810,530,634,629,1438,2009,635,571,1119,2115,1881,801,1758,2476,560,922,974,1496,1952,1718
