1723,1828,2173,2230,2191,2205,1605,2126,1041,2441,2356,1266,2259,2267,2494,2038,1706,2006,855,669,921,703,2227,1613,1446,1930,1381,1704,771,1802,818,2019,1989,1140,654,2210,1072,1373,1277,1368
1828,939,2096,508,831,689,1670,2459,918,2441,1295,781,2051,904,1232,1480,1064,2368,1660,1967,1355,503,2022,1463,543,2336,1412,594,1864,1407,537,2390,2170,1464,970,949,1289,623,1737,2085
2173,2096,759,571,2004,1629,597,970,1183,1272,2458,2014,1468,1810,748,1339,1696,687,1758,1636,1357,2322,2403,815,1720,1249,1473,1247,1077,1695,2267,2168,649,1712,581,1742,502,1176,1491,629
2230,508,571,1972,925,1762,1349,1953,1196,1525,2406,1490,599,941,2213,2075,580,1216,1705,2129,615,2226,1108,1911,995,774,1738,1282,1324,1536,1823,2229,647,1461,2408,1653,1063,1448,825,2452
2191,831,2004,925,1234,730,1353,1740,911,1621,863,545,706,2090,1267,1786,1517,701,907,1212,2086,962,2010,1738,1776,1774,548,1368,1488,1875,1246,859,2392,584,1098,2453,2222,1342,639,588
2205,689,1629,1762,730,2234,1740,2358,1489,1438,2010,2234,1679,1058,1880,1552,1472,955,1277,1484,985,1740,539,1651,1373,1690,2119,633,1969,1017,2021,2386,1721,717,1752,1457,1817,889,2021,1627
1605,1670,597,1349,1353,1740,1357,1942,668,2256,1219,2139,1950,1334,861,704,1678,840,1872,1035,1153,1465,975,1488,2362,1198,2159,962,2270,955,516,1254,2192,2099,2321,1743,1973,2282,2235,834
2126,2459,970,1953,1740,2358,1942,1749,1077,1362,1151,1017,741,1284,1618,2163,2340,2432,1863,1432,1576,2360,1074,636,1795,2384,1415,1330,1322,766,2249,1872,1937,517,1406,1193,2476,712,1624,640
1041,918,1183,1196,911,1489,668,1077,1126,1588,1747,1406,1855,2420,1100,1048,2013,2206,1492,824,1269,1032,928,2304,602,1684,1300,1909,2306,519,2372,747,1359,1221,2068,1222,1078,817,2407,2441
2441,2441,1272,1525,1621,1438,2256,1362,1588,2147,2013,955,2030,2304,1400,1475,812,885,619,2229,1093,2373,1050,2212,2395,1812,1049,2148,2356,1542,2429,809,2051,2447,1849,887,1853,2371,2480,1059
2356,1295,2458,2406,863,2010,1219,1151,1747,2013,1704,2466,935,2479,1138,1320,1135,867,2020,2133,1817,582,1732,1388,2139,2109,1572,1985,1975,1853,1306,1128,2227,840,968,1941,1873,756,1988,2028
1266,781,2014,1490,545,2234,2139,1017,1406,955,2466,1192,928,1253,1946,1853,1702,1350,632,2227,518,1658,1587,2127,1429,598,1119,1620,1814,1133,2110,1382,653,1636,2231,698,1903,1646,987,1860
2259,2051,1468,599,706,1679,1950,741,1855,2030,935,928,780,850,817,1712,2071,545,2297,894,1649,1459,1850,1130,509,1517,1830,1191,543,2162,595,1241,1036,758,1028,1908,1671,1038,845,669
2267,904,1810,941,2090,1058,1334,1284,2420,2304,2479,1253,850,1382,992,2140,1939,2411,1312,1819,1134,629,759,1442,850,2026,936,645,2370,1676,1400,1639,1299,1855,1979,2381,664,2073,1652,1627
2494,1232,748,2213,1267,1880,861,1618,1100,1400,1138,1946,817,992,1632,882,1889,2153,517,2342,891,1943,2496,2172,2484,1810,772,2169,1344,942,1670,1072,1541,526,1658,678,2148,1623,2003,2399
2038,1480,1339,2075,1786,1552,704,2163,1048,1475,1320,1853,1712,2140,882,2465,856,1794,1492,843,2258,1146,1280,2042,969,2312,2187,1232,1473,1600,1673,2435,2350,581,830,1541,676,1645,1453,2091
1706,1064,1696,580,1517,1472,1678,2340,2013,812,1135,1702,2071,1939,1889,856,2147,1238,2174,1695,1710,1891,534,756,1401,500,1655,2038,805,1213,2085,1002,1689,1745,1300,2260,2471,1029,1959,1767
2006,2368,687,1216,701,955,840,2432,2206,885,867,1350,545,2411,2153,1794,1238,2281,1435,1575,1216,788,1417,1136,900,1131,1636,1415,1735,1619,640,528,1085,1230,513,831,1195,706,1323,2232
855,1660,1758,1705,907,1277,1872,1863,1492,619,2020,632,2297,1312,517,1492,2174,1435,1801,1904,1006,1698,719,1848,2195,2456,1760,1399,908,2110,510,2497,2061,601,527,1563,1914,1213,2293,2087
669,1967,1636,2129,1212,1484,1035,1432,824,2229,2133,2227,894,1819,2342,843,1695,1575,1904,1081,1216,2208,2492,998,1062,1584,1249,1490,1699,512,1951,512,1579,1221,2155,1989,755,962,1704,1108
