1154,1817,937,935,1537,1827,879,1028,728,1661,1342,2274,1976,1577,1033,518,2375,669,949,2308,2184,717,2133,1822,2032,2332,2350,1434,1090,2110,530,1628,1011,1944,1640,1623,838,1357,1569,879
1817,2096,1973,2175,2429,2179,1844,1191,1844,645,2167,664,2297,1979,1235,759,2096,1432,2411,1575,605,2032,1395,972,2261,1927,1327,2123,875,946,628,1415,1700,2068,1621,1604,946,1649,710,1558
937,1973,2222,979,706,1222,2070,1009,2162,2237,2064,2387,695,1562,2161,2380,1829,817,1693,2177,1760,2005,1623,1925,2187,1339,1172,798,1018,1574,2407,942,659,2332,518,2201,536,2446,1683,1684
935,2175,979,516,885,2273,1916,2319,1008,780,1071,2056,1127,624,1687,963,1069,1968,2169,501,1623,1921,712,1106,921,839,2056,1325,1542,516,1055,2107,1586,1391,990,1951,1410,794,1068,974
1537,2429,706,885,576,2403,882,1650,2325,2037,679,985,1780,1098,2344,516,2447,1140,1207,1911,2123,1352,2393,1669,1533,1722,1922,1012,2183,510,1830,1702,1838,1400,1225,912,1685,1900,1359,854
1827,2179,1222,2273,2403,825,1754,1013,1222,1742,2141,2231,721,722,916,1186,1002,938,2276,508,1862,1290,1169,2359,2169,2166,1215,1480,631,2209,1490,723,819,1088,829,1740,738,1848,997,1110
879,1844,2070,1916,882,1754,1362,1277,2078,2284,1621,2129,2341,1581,2289,880,2295,1675,1850,1278,1289,873,884,621,1485,1435,1220,674,2169,789,621,1234,1344,1963,1682,1456,662,1041,617,1024
1028,1191,1009,2319,1650,1013,1277,1873,1206,529,2346,719,652,546,930,1872,818,2272,852,633,1613,1552,964,1916,1327,980,1605,1982,2125,2082,1709,1764,636,1404,1919,880,990,2104,1071,1016
728,1844,2162,1008,2325,1222,2078,1206,2442,687,1777,1799,1572,1603,552,2005,1858,627,966,1137,2343,2164,2124,1472,1672,1913,688,1060,904,1814,2357,2420,892,1584,2112,2497,966,2091,1524,2209
1661,645,2237,780,2037,1742,2284,529,687,1990,663,1411,1893,1352,1387,2255,805,754,1788,1500,1292,2008,1615,1281,1807,1119,1303,943,1921,2490,792,1516,1927,926,951,635,1235,1117,1766,816
1342,2167,2064,1071,679,2141,1621,2346,1777,663,2114,2039,915,516,1569,654,2006,511,1177,798,1619,1365,716,699,2253,1321,2015,1032,2473,2224,501,1658,1803,1662,1939,1924,2054,662,2173,1564
2274,664,2387,2056,985,2231,2129,719,1799,1411,2039,1417,2357,1745,1661,2471,2133,1337,700,997,929,2026,2082,807,2349,1865,818,2064,1742,2057,1041,1060,1000,1439,2082,1496,1790,1471,1178,944
1976,2297,695,1127,1780,721,2341,652,1572,1893,915,2357,773,1416,1648,1478,1964,1151,1702,1200,1593,598,1379,1708,529,1823,1485,1804,1350,1951,2231,2037,2365,2170,644,763,938,1620,1274,2258
