1247,1057,763,619,1920,2000,2185,1157,1575,755,987,1861,1065,1351,1861,1446,1958,2196,2040,2210
1057,1165,1687,1019,1543,631,522,1506,2342,902,762,2390,558,913,853,1216,1325,1971,1597,1399
763,1687,839,2275,1534,2270,2245,2262,2356,949,2292,1844,1506,578,2203,1325,1007,1766,2224,1615
619,1019,2275,2163,741,847,1254,1992,1238,526,1748,1149,1351,712,1168,814,972,2488,608,1608
1920,1543,1534,741,1938,618,553,1845,994,2277,1028,1883,2008,758,2152,2300,560,1697,1182,2108
2000,631,2270,847,618,2487,2248,2224,1887,1876,1699,1623,2047,2327,1910,1311,1958,1585,1288,1354
2185,522,2245,1254,553,2248,1476,1939,1463,2111,741,1895,2101,678,1315,1334,2012,1494,1758,1413
1157,1506,2262,1992,1845,2224,1939,1867,856,591,1520,1230,2200,2340,555,2075,2348,1186,1388,1910
1575,2342,2356,1238,994,1887,1463,856,1354,1248,2206,2385,905,533,826,626,1730,1908,1764,2119
755,902,949,526,2277,1876,2111,591,1248,756,1115,2218,563,2476,1825,2292,1043,1637,1634,1439
987,762,2292,1748,1028,1699,741,1520,2206,1115,777,1820,2430,1347,1859,1705,1380,1705,1690,896
1861,2390,1844,1149,1883,1623,1895,1230,2385,2218,1820,814,1303,665,1784,1799,1132,1921,1817,1598
1065,558,1506,1351,2008,2047,2101,2200,905,563,2430,1303,1137,2396,2031,1622,808,1606,1011,669
1351,913,578,712,758,2327,678,2340,533,2476,1347,665,2396,1720,937,920,925,2372,820,796
1861,853,2203,1168,2152,1910,1315,555,826,1825,1859,1784,2031,937,2076,1602,752,825,1648,2063
1446,1216,1325,814,2300,1311,1334,2075,626,2292,1705,1799,1622,920,1602,845,1763,1829,618,2313
1958,1325,1007,972,560,1958,2012,2348,1730,1043,1380,1132,808,925,752,1763,718,1355,1834,1069
2196,1971,1766,2488,1697,1585,1494,1186,1908,1637,1705,1921,1606,2372,825,1829,1355,1292,1891,2053
2040,1597,2224,608,1182,1288,1758,1388,1764,1634,1690,1817,1011,820,1648,618,1834,1891,2475,2380
2210,1399,1615,1608,2108,1354,1413,1910,2119,1439,896,1598,669,796,2063,2313,1069,2053,2380,1101
