2088,1030,911,1678,678,1040,1028,852,1700,646,1075,901,1856,1983,1372,696,2345,1938,940,915
1030,2072,1465,1901,1129,2047,931,763,1426,986,2475,1036,957,1725,1711,1251,1588,670,1865,886
911,1465,941,541,1718,1645,862,1504,964,844,1433,1806,1393,625,785,1635,2081,1638,537,2042
1678,1901,541,1356,1116,820,663,1134,694,1796,744,1643,1894,1632,595,715,1228,1903,1977,1384
678,1129,1718,1116,2419,1269,1240,841,2299,2225,1125,1511,1042,1289,911,1589,1149,2476,1982,1665
1040,2047,1645,820,1269,761,962,1696,1818,2036,1687,1584,817,2247,1673,2234,1963,1839,1452,1275
1028,931,862,663,1240,962,2127,1566,2063,1720,1723,625,1177,1115,1333,663,1194,2188,1528,2449
852,763,1504,1134,841,1696,1566,2072,2436,511,772,1137,926,1164,1832,1706,1918,2269,1737,2212
1700,1426,964,694,2299,1818,2063,2436,1878,1431,1579,2256,1536,2003,1633,1055,1498,2223,2089,1845
646,986,844,1796,2225,2036,1720,511,1431,1781,696,1608,1594,730,1622,1763,1888,2421,551,1595
1075,2475,1433,744,1125,1687,1723,772,1579,696,1354,624,2027,2232,1659,956,2444,1286,1169,1762
901,1036,1806,1643,1511,1584,625,1137,2256,1608,624,1608,1742,2274,2134,1316,1903,1092,2496,2143
1856,957,1393,1894,1042,817,1177,926,1536,1594,2027,1742,1531,1725,925,516,1679,2098,1645,2437
1983,1725,625,1632,1289,2247,1115,1164,2003,730,2232,2274,1725,1585,2008,2308,1747,1204,1439,1349
1372,1711,785,595,911,1673,1333,1832,1633,1622,1659,2134,925,2008,1950,646,1079,2353,1973,894
696,1251,1635,715,1589,2234,663,1706,1055,1763,956,1316,516,2308,646,2481,1287,2149,806,1486
2345,1588,2081,1228,1149,1963,1194,1918,1498,1888,2444,1903,1679,1747,1079,1287,509,724,1498,856
1938,670,1638,1903,2476,1839,2188,2269,2223,2421,1286,1092,2098,1204,2353,2149,724,523,1075,1155
940,1865,537,1977,1982,1452,1528,1737,2089,551,1169,2496,1645,1439,1973,806,1498,1075,2057,1673
915,886,2042,1384,1665,1275,2449,2212,1845,1595,1762,2143,2437,1349,894,1486,856,1155,1673,1796
