504,1840,1787,2490,1547,1353,1276,2078,1546,995,1359,766,2218,1436,1304,2358,1823,1360,797,1396
1840,1467,1848,2349,1988,1494,2408,2275,1421,1380,2394,650,2105,1768,966,1124,2049,885,1353,1716
1787,1848,941,2071,1117,599,1615,1902,1314,1904,1297,1836,752,1772,2029,1058,2223,1485,810,1938
2490,2349,2071,1857,2484,1732,1746,1343,1702,1832,967,2234,1520,1025,590,953,2064,2420,854,1266
1547,1988,1117,2484,1839,860,1849,869,1147,1704,1814,1283,723,1103,1832,2044,692,599,2206,2084
1353,1494,599,1732,860,905,1592,1160,527,2122,1291,1523,1579,2462,2337,995,1632,1071,1900,2161
1276,2408,1615,1746,1849,1592,2392,1335,1561,1115,824,880,1065,1983,1914,1373,2070,1846,1647,2181
2078,2275,1902,1343,869,1160,1335,2162,1347,898,586,2066,533,1661,701,1164,1038,749,2469,958
1546,1421,1314,1702,1147,527,1561,1347,2121,1045,877,910,1190,1714,1123,1196,1194,2144,2429,2364
995,1380,1904,1832,1704,2122,1115,898,1045,867,1495,1420,777,1419,1404,1215,1976,2328,2279,2091
1359,2394,1297,967,1814,1291,824,586,877,1495,1968,669,715,680,1990,812,761,550,1401,978
766,650,1836,2234,1283,1523,880,2066,910,1420,669,1410,1420,763,2094,699,1062,1965,1520,2124
2218,2105,752,1520,723,1579,1065,533,1190,777,715,1420,1869,787,1858,2375,2035,1497,957,783
1436,1768,1772,1025,1103,2462,1983,1661,1714,1419,680,763,787,1680,1933,1447,1491,1767,1326,1384
1304,966,2029,590,1832,2337,1914,701,1123,1404,1990,2094,1858,1933,1219,1215,1326,899,2104,1198
2358,1124,1058,953,2044,995,1373,1164,1196,1215,812,699,2375,1447,1215,2450,1873,1753,1258,1091
1823,2049,2223,2064,692,1632,2070,1038,1194,1976,761,1062,2035,1491,1326,1873,825,870,2379,1689
1360,885,1485,2420,599,1071,1846,749,2144,2328,550,1965,1497,1767,899,1753,870,2419,691,1123
797,1353,810,854,2206,1900,1647,2469,2429,2279,1401,1520,957,1326,2104,1258,2379,691,1335,1785
1396,1716,1938,1266,2084,2161,2181,958,2364,2091,978,2124,783,1384,1198,1091,1689,1123,1785,1803
