575,697,552,2408,873,1824,1486,686,1903,1084,748,1638,545,1752,634,2378,2394,2172,1813,1229,1951,2042,968,1037,1118,1069,1030,1844,880,1801
697,2336,1392,610,1553,1118,2046,525,1895,2162,1469,2204,2261,683,2071,1190,1288,2119,1595,805,1855,1111,1994,897,1466,2000,932,888,2173,838
552,1392,2409,2456,1815,829,2048,1640,708,1771,1726,978,529,642,2233,740,1074,2165,847,1493,785,1458,2489,1255,1109,2190,1100,1878,542,1850
2408,610,2456,1227,2251,582,1308,1741,2108,2237,1175,1848,1584,1185,1360,2222,1926,2101,2255,1335,1165,1858,2365,1050,2489,1215,1974,1106,894,616
873,1553,1815,2251,745,672,2045,2391,2046,1350,1037,1355,2015,1644,869,2103,2353,732,1005,1745,2355,1834,1820,1532,2159,885,2272,1489,1978,740
1824,1118,829,582,672,624,2295,1813,1243,1375,798,1374,2400,1183,1078,2064,1330,2086,2026,1225,911,2014,652,1195,2230,881,794,523,505,1483
1486,2046,2048,1308,2045,2295,1622,1500,714,2166,1353,1466,1031,920,1658,572,662,2404,1453,2054,2360,1955,2126,2114,1669,1300,2097,649,641,1957
686,525,1640,1741,2391,1813,1500,1095,2463,1195,921,1597,1181,795,796,920,781,775,2381,1324,1832,854,2396,1665,1462,2416,1933,1519,1155,558
1903,1895,708,2108,2046,1243,714,2463,1534,1419,1810,1184,1445,1812,705,1776,606,1851,1507,873,770,1911,984,1534,1480,1930,1131,847,1356,1455
1084,2162,1771,2237,1350,1375,2166,1195,1419,1613,1635,1279,1230,1335,1211,732,667,1869,1841,1901,1598,1936,1745,970,1125,2240,717,1407,674,882
748,1469,1726,1175,1037,798,1353,921,1810,1635,943,2360,2416,1299,2247,1742,2354,748,2009,1297,612,2023,1922,1224,689,1664,958,517,864,1806
1638,2204,978,1848,1355,1374,1466,1597,1184,1279,2360,2133,1076,2022,783,1317,562,1876,2498,1075,714,1636,772,580,1581,861,2126,2129,1822,1608
545,2261,529,1584,2015,2400,1031,1181,1445,1230,2416,1076,1530,1101,1222,2373,643,2467,1068,1364,2082,1329,2073,1118,2166,569,1184,1845,1129,1659
1752,683,642,1185,1644,1183,920,795,1812,1335,1299,2022,1101,1117,536,1131,813,1523,934,1618,1650,1945,1698,1018,1347,1321,572,901,2175,796
634,2071,2233,1360,869,1078,1658,796,705,1211,2247,783,1222,536,714,1669,1249,1108,1896,1618,576,2009,917,907,925,1989,1259,1388,2067,1962
2378,1190,740,2222,2103,2064,572,920,1776,732,1742,1317,2373,1131,1669,2232,861,1271,1906,981,2176,1970,1982,2093,1381,1969,912,1511,1431,2236
2394,1288,1074,1926,2353,1330,662,781,606,667,2354,562,643,813,1249,861,2001,1839,1652,1109,545,1953,1243,947,1121,1781,2043,1195,1303,1981
2172,2119,2165,2101,732,2086,2404,775,1851,1869,748,1876,2467,1523,1108,1271,1839,2235,2022,1044,1622,911,759,988,1032,1769,1924,2185,2112,1641
1813,1595,847,2255,1005,2026,1453,2381,1507,1841,2009,2498,1068,934,1896,1906,1652,2022,1651,729,2253,1597,1723,605,1424,2448,1449,730,1340,1445
1229,805,1493,1335,1745,1225,2054,1324,873,1901,1297,1075,1364,1618,1618,981,1109,1044,729,2047,1693,603,709,916,1783,999,506,2238,1270,2205
1951,1855,785,1165,2355,911,2360,1832,770,1598,612,714,2082,1650,576,2176,545,1622,2253,1693,1765,1445,2043,2034,2385,624,2235,1309,2423,1027
2042,1111,1458,1858,1834,2014,1955,854,1911,1936,2023,1636,1329,1945,2009,1970,1953,911,1597,603,1445,1839,1419,517,1983,564,1695,1420,1796,2427
968,1994,2489,2365,1820,652,2126,2396,984,1745,1922,772,2073,1698,917,1982,1243,759,1723,709,2043,1419,641,926,955,1404,2295,1222,677,1094
1037,897,1255,1050,1532,1195,2114,1665,1534,970,1224,580,1118,1018,907,2093,947,988,605,916,2034,517,926,2279,771,538,1271,1619,867,1913
1118,1466,1109,2489,2159,2230,1669,1462,1480,1125,689,1581,2166,1347,925,1381,1121,1032,1424,1783,2385,1983,955,771,1610,1849,1650,2408,1158,965
1069,2000,2190,1215,885,881,1300,2416,1930,2240,1664,861,569,1321,1989,1969,1781,1769,2448,999,624,564,1404,538,1849,1906,858,2275,1399,2035
1030,932,1100,1974,2272,794,2097,1933,1131,717,958,2126,1184,572,1259,912,2043,1924,1449,506,2235,1695,2295,1271,1650,858,864,1623,935,526
1844,888,1878,1106,1489,523,649,1519,847,1407,517,2129,1845,901,1388,1511,1195,2185,730,2238,1309,1420,1222,1619,2408,2275,1623,2338,1661,1167
880,2173,542,894,1978,505,641,1155,1356,674,864,1822,1129,2175,2067,1431,1303,2112,1340,1270,2423,1796,677,867,1158,1399,935,1661,1151,570
1801,838,1850,616,740,1483,1957,558,1455,882,1806,1608,1659,796,1962,2236,1981,1641,1445,2205,1027,2427,1094,1913,965,2035,526,1167,570,1752
