1454,1368,1755,1450,1425,550,621,1784,1976,724,1094,1884,657,1176,1346,1324,1832,726,1246,813
1368,926,2167,2423,2024,2249,585,2017,1487,1165,2464,893,1447,1892,1550,1702,1603,1625,2469,950
1755,2167,2021,1141,1665,1973,1499,654,2488,1560,1651,1204,547,1040,1339,1777,580,568,1253,2173
1450,2423,1141,2379,2461,1145,2323,778,1115,2015,612,2136,992,694,1170,1393,1825,1021,2068,2420
1425,2024,1665,2461,2014,1268,2415,796,677,2286,1771,2225,2278,2024,1416,992,648,1280,2090,1592
550,2249,1973,1145,1268,1256,1265,1697,1393,1354,2160,633,971,931,2146,1316,1353,1765,1956,1909
621,585,1499,2323,2415,1265,1222,1822,668,700,938,1859,2135,527,2022,2087,1523,620,1363,1114
1784,2017,654,778,796,1697,1822,2039,1321,1872,1429,1775,1473,1700,589,559,1260,1766,2099,750
1976,1487,2488,1115,677,1393,668,1321,1126,2014,1396,1826,2239,544,910,1039,2467,2462,1228,1958
724,1165,1560,2015,2286,1354,700,1872,2014,2273,2474,2115,1312,1820,1675,1802,2131,1598,2257,1945
1094,2464,1651,612,1771,2160,938,1429,1396,2474,1321,1235,2111,842,1076,2127,740,1284,1672,1605
1884,893,1204,2136,2225,633,1859,1775,1826,2115,1235,672,2015,603,952,1523,2412,1606,716,1082
657,1447,547,992,2278,971,2135,1473,2239,1312,2111,2015,1001,1049,2190,961,921,1871,2062,2455
1176,1892,1040,694,2024,931,527,1700,544,1820,842,603,1049,1731,1455,569,1799,2405,940,1198
1346,1550,1339,1170,1416,2146,2022,589,910,1675,1076,952,2190,1455,826,2051,2302,1898,2014,708
1324,1702,1777,1393,992,1316,2087,559,1039,1802,2127,1523,961,569,2051,574,861,2023,1651,1886
1832,1603,580,1825,648,1353,1523,1260,2467,2131,740,2412,921,1799,2302,861,1147,1961,2163,1396
726,1625,568,1021,1280,1765,620,1766,2462,1598,1284,1606,1871,2405,1898,2023,1961,2342,966,1184
1246,2469,1253,2068,2090,1956,1363,2099,1228,2257,1672,716,2062,940,2014,1651,2163,966,553,533
813,950,2173,2420,1592,1909,1114,750,1958,1945,1605,1082,2455,1198,708,1886,1396,1184,533,697
