518,819,2469,2417,1422,596,1651,1614,1046,931,2350,2027,1459,1775,1023,632,909,2181,1995,1924
819,1177,2312,1506,2062,2243,2185,542,1431,1841,1716,2386,545,1042,1612,1770,622,1952,1671,1587
2469,2312,1236,1111,819,1833,1674,1565,1371,1371,2488,638,1284,757,2055,2317,1705,1561,2323,1676
2417,1506,1111,1630,1038,2450,2140,1990,1102,2192,1568,802,1640,1575,919,1364,2229,1400,1864,2380
1422,2062,819,1038,1930,1088,1060,2312,590,1200,1372,1020,866,1649,1687,664,725,569,1300,914
596,2243,1833,2450,1088,1697,1489,1923,2449,837,1407,933,1015,1661,1279,2336,1176,653,1852,794
1651,2185,1674,2140,1060,1489,777,1334,1149,1685,1634,1862,753,2202,551,2359,1264,1731,1628,950
1614,542,1565,1990,2312,1923,1334,2391,1629,784,2346,2364,755,2103,2315,2006,941,1482,1581,972
1046,1431,1371,1102,590,2449,1149,1629,1871,2021,2251,1899,2011,2161,1747,1324,1609,979,1781,1693
931,1841,1371,2192,1200,837,1685,784,2021,1744,2092,1092,2056,1288,1966,777,901,748,771,867
2350,1716,2488,1568,1372,1407,1634,2346,2251,2092,1768,2360,2178,914,1942,1976,855,740,1833,2148
2027,2386,638,802,1020,933,1862,2364,1899,1092,2360,767,748,2168,550,2101,2445,1462,1671,2440
1459,545,1284,1640,866,1015,753,755,2011,2056,2178,748,1253,1430,2299,1010,2174,1131,833,2326
1775,1042,757,1575,1649,1661,2202,2103,2161,1288,914,2168,1430,774,2252,1010,1770,1328,583,1996
1023,1612,2055,919,1687,1279,551,2315,1747,1966,1942,550,2299,2252,715,2161,1151,2397,2478,1806
632,1770,2317,1364,664,2336,2359,2006,1324,777,1976,2101,1010,1010,2161,2255,1167,971,2195,2307
909,622,1705,2229,725,1176,1264,941,1609,901,855,2445,2174,1770,1151,1167,843,2111,2311,641
2181,1952,1561,1400,569,653,1731,1482,979,748,740,1462,1131,1328,2397,971,2111,2377,2450,1653
1995,1671,2323,1864,1300,1852,1628,1581,1781,771,1833,1671,833,583,2478,2195,2311,2450,1922,680
1924,1587,1676,2380,914,794,950,972,1693,867,2148,2440,2326,1996,1806,2307,641,1653,680,960
