0,218,11.0,218,103576,48704
1,65,1.0,65,40298,82822
2,251,25.0,251,98861,41979
3,128,13.0,128,126700,18760
4,44,4.0,44,144243,29287
5,124,21.0,124,76064,112096
6,69,8.0,69,121199,65101
7,213,23.0,213,28228,84572
8,108,8.0,108,68776,91514
9,170,17.0,170,40001,177799
10,120,15.0,120,6951,132699
11,187,6.0,187,113300,49980
12,64,4.0,64,109562,1738
13,237,42.0,237,98417,22863
14,224,33.0,224,135514,73606
15,308,14.0,308,66733,104767
16,12,0.0,12,98031,71489
17,107,12.0,107,188339,43951
18,152,14.0,152,73408,83152
19,215,32.0,215,89252,73788
