0,161,19.0,161,135614,33716
1,161,24.0,161,119100,89610
2,55,2.0,55,19601,90159
3,148,11.0,148,170617,12223
4,42,4.0,42,154242,2978
5,167,9.0,167,52348,69332
6,202,36.0,202,87391,95309
7,181,21.0,181,40197,57803
8,82,3.0,82,41709,167731
9,77,1.0,77,20381,170179
10,220,3.0,220,6667,169973
11,167,13.0,167,20407,187853
12,215,34.0,215,182618,3542
13,56,6.0,56,31936,73624
14,227,41.0,227,20542,175458
15,19,1.0,19,189372,20308
16,138,22.0,138,12247,88623
17,77,12.0,77,118948,40972
18,65,11.0,65,13547,215503
19,69,4.0,69,31920,110880
20,96,12.0,96,22216,108734
21,104,12.0,104,139377,17763
22,123,5.0,123,44261,74249
23,145,13.0,145,32513,113787
24,299,18.0,299,80941,69769
25,155,19.0,155,126264,95226
26,261,20.0,261,65996,67524
27,132,20.0,132,51235,89565
28,301,24.0,301,93153,13597
29,28,0.0,28,65181,36739
