0,268,10.0,268,185155,1725
1,237,13.0,237,117448,27032
2,41,1.0,41,88225,79375
3,277,40.0,277,97851,70719
4,207,20.0,207,32399,144181
5,228,18.0,228,17325,121725
6,32,2.0,32,51939,130621
7,75,9.0,75,131178,10572
8,292,42.0,292,51162,142358
9,303,24.0,303,44768,54982
10,244,41.0,244,115058,27322
11,46,1.0,46,143617,38453
12,272,25.0,272,37437,107443
13,228,40.0,228,7963,200567
14,60,9.0,60,48948,60322
15,71,6.0,71,65973,78717
16,156,19.0,156,14342,131748
17,114,1.0,114,121922,36958
18,205,35.0,205,185628,4932
19,149,5.0,149,105666,29374
20,275,41.0,275,29403,133237
21,157,15.0,157,52538,75262
22,93,10.0,93,158474,36106
23,303,6.0,303,100121,18359
24,162,7.0,162,98365,55075
25,120,3.0,120,174308,9472
26,63,6.0,63,74613,75467
27,223,38.0,223,199827,2403
28,264,33.0,264,68936,164164
29,307,40.0,307,68882,69198
