0,152,22.0,152,106683,98357
1,90,2.0,90,154420,39100
2,100,15.0,100,91422,70578
3,120,13.0,120,151950,28050
4,280,16.0,280,74250,52870
5,264,18.0,264,148299,11301
6,288,27.0,288,109392,81138
7,167,20.0,167,16917,158853
8,198,25.0,198,19464,124536
9,307,18.0,307,99971,43849
10,22,2.0,22,17007,182433
11,238,24.0,238,6375,132405
12,21,2.0,21,82413,60737
13,78,3.0,78,13620,148140
14,113,4.0,113,45460,89150
15,120,8.0,120,211576,23234
16,121,22.0,121,80094,82726
17,104,4.0,104,72589,53091
18,235,26.0,235,102667,67433
19,254,43.0,254,95310,89730
20,225,39.0,225,17243,128277
21,47,0.0,47,27838,126652
22,142,5.0,142,52685,83745
23,284,27.0,284,164509,60131
24,135,3.0,135,118003,54077
25,297,24.0,297,129710,69570
26,99,6.0,99,7836,139094
27,247,19.0,247,75487,105183
28,192,5.0,192,13316,155324
29,154,15.0,154,9127,119273
30,31,2.0,31,84619,88981
31,220,14.0,220,25392,204828
32,186,1.0,186,149017,72473
33,197,24.0,197,34599,182301
34,164,4.0,164,64907,87833
35,258,12.0,258,125193,53277
36,274,19.0,274,144459,25081
37,260,42.0,260,165859,29581
38,204,31.0,204,39609,101721
39,41,4.0,41,53923,119887
