0,22,0.0,22,106822,978
1,157,26.0,157,73661,44979
2,145,14.0,145,99294,15266
3,235,1.0,235,98673,41487
4,130,23.0,130,204835,15215
5,12,0.0,12,64188,102212
6,138,23.0,138,121925,9745
7,189,16.0,189,72743,81537
8,165,0.0,165,78930,41890
9,153,14.0,153,190995,42465
10,107,0.0,107,41875,104735
11,158,16.0,158,149048,82792
12,206,22.0,206,155841,24159
13,181,5.0,181,25032,98408
14,254,48.0,254,166520,60100
15,140,20.0,140,80189,15011
16,118,6.0,118,48029,114331
17,270,37.0,270,27207,178803
18,22,1.0,22,60478,91982
19,173,0.0,173,15484,176306
20,126,6.0,126,112950,24040
21,273,15.0,273,36310,66450
22,301,19.0,301,56928,109952
23,257,24.0,257,50052,92988
24,131,7.0,131,70217,25473
25,16,0.0,16,24913,142387
26,158,18.0,158,28102,110948
27,270,25.0,270,58076,126514
28,129,13.0,129,46680,95070
29,65,2.0,65,43882,87078
30,298,12.0,298,174262,16538
31,241,30.0,241,4943,124977
32,259,5.0,259,70783,118577
33,39,2.0,39,94312,113228
34,230,3.0,230,103994,114256
35,195,4.0,195,81833,23167
36,278,8.0,278,5392,146888
37,231,21.0,231,17572,162048
38,174,18.0,174,113552,25488
39,267,12.0,267,96009,107751
