0,143,8.0,143,128673,24057
1,48,7.0,48,133310,7880
2,201,7.0,201,3409,164111
3,154,3.0,154,40361,77159
4,229,9.0,229,93461,56539
5,239,5.0,239,7146,144534
6,177,1.0,177,40694,131386
7,145,20.0,145,162244,25316
8,13,0.0,13,77615,153325
9,178,8.0,178,57563,67667
10,235,5.0,235,28993,111087
11,74,10.0,74,27394,89296
12,52,5.0,52,1079,165241
13,102,18.0,102,110057,37143
14,228,36.0,228,118001,22759
15,244,41.0,244,99505,51155
16,214,35.0,214,83228,66292
17,116,5.0,116,117321,15339
18,292,48.0,292,33785,200125
19,29,3.0,29,83520,97520
20,92,8.0,92,21642,189158
21,30,2.0,30,59359,99841
22,86,14.0,86,69224,82116
23,155,17.0,155,50799,89691
24,273,25.0,273,33864,138396
25,80,11.0,80,105057,21103
26,282,8.0,282,149145,4295
27,164,4.0,164,179925,12675
28,34,0.0,34,9453,189357
29,206,11.0,206,77733,78147
30,77,11.0,77,7291,116009
31,153,2.0,153,63177,125943
32,33,0.0,33,19344,98676
33,90,13.0,90,42364,192716
34,44,3.0,44,105569,18901
35,68,8.0,68,111106,23614
36,292,47.0,292,14352,100688
37,124,22.0,124,2584,129366
38,132,24.0,132,5637,202353
39,168,23.0,168,134709,72831
