0,310,9.0,310,5005,130795
1,92,13.0,92,30400,120800
2,140,12.0,140,170448,19362
3,178,22.0,178,135102,17218
4,251,1.0,251,127200,34710
5,243,15.0,243,46527,76673
6,170,29.0,170,53433,77157
7,206,4.0,206,29755,100925
8,172,14.0,172,112256,49504
9,144,11.0,144,48887,68073
10,273,13.0,273,34384,96736
11,308,24.0,308,60410,81510
12,245,40.0,245,92502,117098
13,16,1.0,16,125057,39663
14,309,52.0,309,142940,10740
15,137,24.0,137,127083,23237
16,187,10.0,187,178852,28828
17,62,8.0,62,60169,108181
18,32,2.0,32,98927,12863
19,125,19.0,125,120649,32791
