0,111,20.0,111,60201,53549
1,167,0.0,167,28146,155814
2,34,2.0,34,141988,28322
3,271,5.0,271,86287,117833
4,100,9.0,100,76530,75720
5,274,18.0,274,14428,88962
6,73,1.0,73,122022,10218
7,120,2.0,120,32884,176556
8,138,13.0,138,77360,39820
9,233,39.0,233,25866,149904
10,266,47.0,266,37908,98732
11,235,43.0,235,60018,92652
12,302,39.0,302,82669,57891
13,283,19.0,283,38734,82866
14,211,40.0,211,140120,40840
15,169,2.0,169,180833,2447
16,258,8.0,258,212816,1564
17,14,0.0,14,42379,72701
18,159,6.0,159,3843,128877
19,264,32.0,264,172893,19747
